Код,Номера,Оператор,Регион
900,900-000xxxx,Tele2,Краснодарский край
900,001xxxx,Tele2,Краснодарский край
900,002xxxx,Tele2,Краснодарский край
900,003xxxx,Tele2,Краснодарский край
900,004xxxx,Tele2,Краснодарский край
900,005xxxx,Tele2,Краснодарский край
900,0060xxx,Tele2,Краснодарский край
900,0061xxx,Tele2,Краснодарский край
900,900-0062xxx,Tele2,Ростовская область
900,900-0063xxx,Tele2,Краснодарский край
900,0064xxx,Tele2,Краснодарский край
900,0065xxx,Tele2,Краснодарский край
900,0066xxx,Tele2,Краснодарский край
900,0067xxx,Tele2,Краснодарский край
900,0068xxx,Tele2,Краснодарский край
900,0069xxx,Tele2,Краснодарский край
900,007xxxx,Tele2,Краснодарский край
900,008xxxx,Tele2,Краснодарский край
900,009xxxx,Tele2,Краснодарский край
900,900-01xxxxx,Tele2,Тверская область
900,900-02xxxxx,Tele2,Челябинская область
900,900-03xxxxx,МОТИВ,Свердловская область
900,04xxxxx,МОТИВ,Свердловская область
900,900-05xxxxx,Tele2,Кемеровская область
900,900-06xxxxx,Tele2,Челябинская область
900,07xxxxx,Tele2,Челябинская область
900,08xxxxx,Tele2,Челябинская область
900,09xxxxx,Tele2,Челябинская область
900,900-10xxxxx,Tele2,Кемеровская область
900,900-11xxxxx,Tele2,Тверская область
900,900-12xxxxx,Tele2,Ростовская область
900,13xxxxx,Tele2,Ростовская область
900,900-14xxxxx,Tele2,Москва
900,15xxxxx,Tele2,Москва
900,900-160xxxx,Tele2,Республика Тыва
900,161xxxx,Tele2,Республика Тыва
900,162xxxx,Tele2,Республика Тыва
900,900-163xxxx,Tele2,Алтайский край
900,164xxxx,Tele2,Алтайский край
900,900-165xxxx,Tele2,Саратовская область
900,166xxxx,Tele2,Саратовская область
900,167xxxx,Tele2,Саратовская область
900,168xxxx,Tele2,Саратовская область
900,169xxxx,Tele2,Саратовская область
900,900-170xxxx,Tele2,Белгородская область
900,171xxxx,Tele2,Белгородская область
900,900-172xxxx,Tele2,Ростовская область
900,173xxxx,Tele2,Ростовская область
900,900-174xxxx,Tele2,Волгоградская область
900,900-175xxxx,Tele2,Камчатский край
900,900-176xxxx,Tele2,Самарская область
900,177xxxx,Tele2,Самарская область
900,178xxxx,Tele2,Самарская область
900,179xxxx,Tele2,Самарская область
900,900-180xxxx,Tele2,Волгоградская область
900,181xxxx,Tele2,Волгоградская область
900,182xxxx,Tele2,Волгоградская область
